,ville,lat,lon,main.temp,main.feels_like,main.temp_max,main.humidity,clouds.all,wind.speed,visibility,lg_day,rain.3h,coord.lat,coord.lon,mainweather.main,mainweather.description
0,Aigues Mortes,43.57,4.19,15.326249999999998,14.55225,15.326249999999998,62.725,45.25,5.50625,9935.7,10.276944444444444,7.91,43.5658,4.1913,Rain,scattered clouds
1,Aix en Provence,43.53,5.45,14.210249999999998,13.08125,14.210249999999998,62.525,42.7,4.312250000000001,9870.925,10.279444444444444,7.3999999999999995,43.5298,5.4475,Rain,scattered clouds
2,Amiens,49.89,2.3,11.3455,10.23125,11.353,78.2,71.225,5.6015,9824.475,9.81777777777778,25.43,49.8942,2.2957,Rain,scattered clouds
3,Annecy,45.9,6.13,9.592,9.0785,9.625,86.675,78.2,1.25475,9423.3,10.120833333333334,34.15,45.8992,6.1289,Rain,scattered clouds
4,Ariege,48.41,2.79,11.52375,10.356,11.531,75.725,70.3,4.196,9955.25,9.93611111111111,9.36,48.4103,2.7858,Rain,scattered clouds
5,Avignon,43.95,4.81,13.681000000000001,12.7375,13.68125,69.5,45.3,5.6354999999999995,10000.0,10.252222222222223,9.280000000000001,43.9492,4.8059,Rain,scattered clouds
6,Bayeux,49.28,-0.7,11.538,10.4865,11.54625,80.275,76.375,7.04275,10000.0,9.8675,31.98,49.2765,-0.7025,Rain,scattered clouds
7,Bayonne,43.49,-1.47,15.02725,14.438749999999999,15.02725,70.975,66.45,3.74675,9907.25,10.280555555555557,22.34,43.4945,-1.4737,Rain,scattered clouds
8,Besancon,47.24,6.02,9.32875,8.56725,9.32875,87.6,81.25,1.971,9836.6,10.024722222222222,19.7,47.238,6.0244,Rain,scattered clouds
9,Biarritz,43.48,-1.56,15.25975,14.676750000000002,15.25975,70.3,69.65,4.189500000000001,9932.7,10.28138888888889,22.45,43.4833,-1.5593,Rain,scattered clouds
10,Bormes les Mimosas,43.15,6.34,15.408000000000001,14.693999999999999,15.501249999999999,64.7,35.25,4.73325,10000.0,10.303611111111111,14.129999999999999,43.1507,6.3419,Rain,scattered clouds
11,Carcassonne,43.21,2.35,13.90925,13.02625,13.935749999999999,70.725,64.925,5.2787500000000005,10000.0,10.299166666666668,16.95,43.213,2.3491,Rain,scattered clouds
12,Cassis,43.21,5.54,16.71725,15.9655,16.7315,58.25,39.25,6.549250000000001,9875.075,10.299444444444445,9.81,43.214,5.5396,Rain,scattered clouds
13,Chateau du Haut Koenigsbourg,48.25,7.35,7.0512500000000005,6.19675,7.0512500000000005,80.85,81.95,1.721,9956.825,9.949166666666667,10.07,48.2495,7.3455,Rain,scattered clouds
14,Collioure,42.53,3.08,16.3355,15.634,16.3355,61.65,54.05,6.07475,10000.0,10.3425,0.32999999999999996,42.5251,3.0832,Rain,scattered clouds
15,Colmar,48.08,7.36,10.098749999999999,9.4665,10.098749999999999,81.0,79.225,1.89575,9933.55,9.962222222222222,12.0,48.0778,7.358,Rain,scattered clouds
16,Dijon,47.32,5.04,9.43675,8.161,9.43675,83.925,77.45,2.662,10000.0,10.018611111111111,8.34,47.3216,5.0415,Rain,scattered clouds
17,Eguisheim,48.04,7.31,10.14825,9.55925,10.14825,80.925,78.8,1.7719999999999998,9916.85,9.964722222222223,13.120000000000001,48.0448,7.308,Rain,scattered clouds
18,Gorges du Verdon,43.75,6.33,8.934999999999999,7.38275,9.0345,71.6,45.35,2.643,10000.0,10.265277777777778,9.41,43.7497,6.3286,Rain,scattered clouds
19,Grenoble,45.19,5.74,11.1945,10.5905,11.1945,86.475,74.875,1.56475,8439.85,10.169722222222221,49.879999999999995,45.1876,5.7358,Rain,scattered clouds
20,La Rochelle,46.16,-1.15,14.50975,13.895750000000001,14.50975,71.625,79.975,7.263,9880.075,10.101666666666667,24.8,46.1591,-1.152,Rain,scattered clouds
21,Le Havre,49.49,0.11,12.7615,12.121500000000001,12.77525,77.65,83.9,8.50775,9555.65,9.850277777777778,38.2,49.4939,0.108,Rain,scattered clouds
22,Lille,50.64,3.06,11.494,10.423,11.49575,76.125,73.7,5.26225,9905.175,9.756111111111112,20.599999999999998,50.6366,3.0635,Rain,scattered clouds
23,Lyon,45.76,4.83,11.943,11.097249999999999,11.977500000000001,74.9,79.7,2.41375,9903.45,10.13027777777778,17.490000000000002,45.7578,4.832,Rain,scattered clouds
24,Marseille,43.3,5.37,16.69775,16.00075,16.7095,60.425,37.8,7.126250000000001,10000.0,10.294166666666666,8.79,43.2962,5.37,Rain,scattered clouds
25,Mont Saint Michel,48.64,-1.51,11.847249999999999,10.9845,11.8555,82.65,74.0,6.89625,9841.025,9.91777777777778,27.49,48.636,-1.5115,Rain,scattered clouds
26,Montauban,44.02,1.35,13.191999999999998,12.353,13.235999999999999,70.325,67.85,3.6637500000000003,10000.0,10.247222222222224,13.9,44.0176,1.355,Rain,scattered clouds
27,Nimes,43.84,4.36,13.769749999999998,12.79275,13.772499999999999,64.975,44.925,4.3115000000000006,10000.0,10.259444444444446,9.08,43.8374,4.3601,Rain,scattered clouds
28,Paris,48.86,2.32,12.391,11.527,12.42325,71.55,72.525,4.154999999999999,9988.75,9.901111111111112,9.03,48.8589,2.32,Rain,scattered clouds
29,Rouen,49.44,1.09,11.33475,10.27975,11.352500000000001,80.075,76.725,5.63975,9969.825,9.854722222222222,25.34,49.4405,1.094,Rain,scattered clouds
30,Saintes Maries de la mer,43.45,4.43,15.775749999999999,15.088999999999999,15.775749999999999,64.325,47.975,7.382000000000001,10000.0,10.284166666666666,8.32,43.4523,4.4287,Rain,scattered clouds
31,St Malo,48.65,-2.03,12.829249999999998,12.16875,12.83375,78.275,77.225,8.5705,10000.0,9.916944444444445,23.900000000000002,48.6495,-2.026,Rain,scattered clouds
32,Strasbourg,48.58,7.75,10.5315,9.779,10.54675,77.625,85.725,2.4695,10000.0,9.923333333333334,7.01,48.5846,7.7507,Rain,scattered clouds
33,Toulouse,43.6,1.44,13.860499999999998,13.145500000000002,13.8965,67.625,69.8,4.1115,9976.275,10.274166666666668,15.99,43.6045,1.4442,Rain,scattered clouds
34,Uzes,44.01,4.42,12.66075,11.364,12.6655,68.6,49.65,4.2395000000000005,9937.5,10.248055555555556,9.86,44.0121,4.4197,Rain,scattered clouds
